business_id,yelp_name,wake_county_name,had_critical_violation,is_closed,years_open,rating,latitude,longitude,location_city,location_zip_code,url,price_$,price_$$,price_$$$,price_$$$$,price_?,category_acaibowls,category_african,category_argentine,category_asianfusion,category_bagels,category_bakeries,category_bars,category_bbq,category_beer_and_wine,category_beerbar,category_beergardens,category_brasseries,category_brazilian,category_breakfast_brunch,category_breweries,category_brewpubs,category_bubbletea,category_buffets,category_burgers,category_cafes,category_cafeteria,category_cajun,category_cantonese,category_caribbean,category_catering,category_cheesesteaks,category_chicken_wings,category_chickenshop,category_chinese,category_cocktailbars,category_coffee,category_coffeeroasteries,category_colombian,category_comfortfood,category_creperies,category_cuban,category_cupcakes,category_delis,category_desserts,category_dimsum,category_diners,category_divebars,category_dominican,category_donuts,category_egyptian,category_empanadas,category_eritrean,category_escapegames,category_ethiopian,category_farmersmarket,category_filipino,category_fondue,category_food_court,category_foodstands,category_foodtrucks,category_french,category_gastropubs,category_gelato,category_german,category_gluten_free,category_gourmet,category_greek,category_grillingequipment,category_hawaiian,category_healthmarkets,category_himalayan,category_hotdog,category_hotdogs,category_hotpot,category_icecream,category_indpak,category_internetcafe,category_irish,category_irish_pubs,category_italian,category_japanese,category_juicebars,category_kebab,category_kombucha,category_korean,category_laotian,category_lasertag,category_latin,category_lebanese,category_lounges,category_macarons,category_malaysian,category_markets,category_meats,category_mediterranean,category_mexican,category_mideastern,category_mongolian,category_musicvenues,category_newamerican,category_nonprofit,category_noodles,category_nutritionists,category_organic_stores,category_outdoorfurniture,category_paintandsip,category_pakistani,category_panasian,category_pastashops,category_persian,category_peruvian,category_pizza,category_poke,category_polish,category_psychic_astrology,category_pubs,category_puertorican,category_ramen,category_raw_food,category_recreation,category_restaurants,category_salad,category_salvadoran,category_sandwiches,category_seafood,category_servicestations,category_smokehouse,category_soulfood,category_soup,category_southern,category_spanish,category_sportsbars,category_steak,category_sushi,category_szechuan,category_tacos,category_taiwanese,category_tapas,category_tapasmallplates,category_tea,category_teppanyaki,category_tex-mex,category_thai,category_tradamerican,category_turkish,category_vegan,category_vegetarian,category_venezuelan,category_vietnamese,category_vitaminssupplements,category_waffles,category_walkingtours,category_whiskeybars,category_wine_bars,category_winetastingroom,category_wraps,review_pca_0,review_pca_1,review_pca_2,review_pca_3,review_pca_4,review_pca_5,review_pca_6,review_pca_7,review_pca_8,review_pca_9,review_pca_10,review_pca_11,review_pca_12,review_pca_13,review_pca_14,review_pca_15,review_pca_16,review_pca_17,review_pca_18,review_pca_19,review_pca_20,review_pca_21,review_pca_22,review_pca_23,review_pca_24,review_pca_25,review_pca_26,review_pca_27,review_pca_28,review_pca_29,review_pca_30,review_pca_31,review_pca_32,review_pca_33,review_pca_34,review_pca_35,review_pca_36,review_pca_37,review_pca_38,review_pca_39,review_pca_40,review_pca_41,review_pca_42,review_pca_43,review_pca_44,review_pca_45,review_pca_46,review_pca_47,review_pca_48,review_pca_49,review_pca_50,review_pca_51,review_pca_52,review_pca_53,review_pca_54,review_pca_55,review_pca_56,review_pca_57,review_pca_58,review_pca_59,review_pca_60,review_pca_61,review_pca_62,review_pca_63,review_pca_64,review_pca_65,review_pca_66,review_pca_67,review_pca_68,review_pca_69,review_pca_70,review_pca_71,review_pca_72,review_pca_73,review_pca_74,review_pca_75,review_pca_76,review_pca_77,review_pca_78,review_pca_79,review_pca_80,review_pca_81,review_pca_82,review_pca_83,review_pca_84,review_pca_85,review_pca_86,review_pca_87,review_pca_88,review_pca_89,review_pca_90,review_pca_91,review_pca_92,review_pca_93,review_pca_94,review_pca_95,review_pca_96,review_pca_97,review_pca_98,review_pca_99
XhqBrqQzveA2Bxr6EaA5dA,Starbucks,Starbucks,0,0,10,3,35.591783,-78.775212,Fuquay-Varina,27526,https://www.yelp.com/biz/starbucks-fuquay-varina?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.329933711,-0.203291986,0.158548298,0.320022115,-0.025024346,0.077382241,-0.046580565,-0.02403477,-0.238898085,0.072594685,-0.059481565,0.077925481,-0.16346988,-0.107365345,0.031134353,0.131596796,-0.00715609,0.222636998,0.17115784,-0.118153797,-0.010553765,-0.17521273,-0.113335476,0.15774717,-0.100155156,0.041976487,-0.202895726,-0.074221275,0.109702141,0.214451965,0.006029977,-0.07153488,-0.054689412,-0.018281162,-0.015142617,0.010622193,-0.104329683,0.002030294,0.017452756,-0.318493031,-0.100339561,-0.108507074,-0.228781052,0.156772095,-0.0950025,0.156932373,-0.004363563,-0.022202985,-0.179061597,-0.172088338,0.066510208,0.208687738,-0.010917358,-0.123423488,0.121203797,-0.068209275,-0.007784096,-0.187433548,0.053170072,-0.123708592,0.287502179,-0.069466501,0.144514861,-0.18362095,0.104701448,-0.113203951,0.050299879,0.104441239,0.163727151,0.06731594,0.055153786,0.105306923,-0.218184672,0.087542682,0.064275689,-0.079666684,-0.164955505,-0.149068618,0.052049776,0.006325142,-0.0066891,0.010691317,-0.038234766,0.098879865,0.099291315,-0.024123464,0.040658528,-0.115815594,0.086392737,0.183009866,0.309532953,0.045384146,-0.068993238,0.038266626,0.078069467,-0.132288406,-0.007498139,0.074074185,0.056326017,0.074599407
8CJ7lA3qTTd5irXNegXNvQ,Cristo's Bistro,CRISTO'S BISTRO,1,0,1,4,35.667734,-78.796918,Holly Springs,27540,https://www.yelp.com/biz/cristos-bistro-holly-springs?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963629384,-0.037218989,-0.314318931,-0.34914838,0.05666333,0.125129601,0.36698267,-0.021572677,-0.515877918,-0.175374988,-0.508838087,-0.072571041,0.14367335,0.311596153,-0.068785385,-0.174879786,0.071496282,-0.070221347,0.16727892,0.136054225,-0.062690985,0.22404965,0.015327009,0.175103457,0.192085925,0.008326853,0.04036592,0.094384943,-0.043365871,-0.069486316,0.055839689,0.152129278,-0.10620068,0.094464337,-0.259635437,-0.056869473,0.023205183,0.087679896,-0.21645021,0.031755694,0.008731672,0.11162246,-0.05534795,0.054139345,0.010032216,-0.186885953,0.036404157,-0.041215803,0.117765428,0.148887696,-0.08541679,-0.060120629,0.068362539,0.069679813,0.020122982,0.015723746,-0.161833106,-0.020962154,0.08854572,0.068375509,0.043861116,0.012115367,-0.005813488,0.02344779,-0.007217279,-0.034616723,0.036431178,0.001551654,-0.065546152,-0.025480012,0.014062724,0.106924024,0.139401212,0.01843287,-0.049344519,-0.24908051,0.020593434,0.021132836,0.061251223,0.005616504,-0.020090764,-0.005798616,-0.019786019,0.080140145,0.042773814,-0.046312248,-0.069517741,0.174125122,0.026348883,-0.018454004,-0.196849795,0.158715146,-0.026757597,0.122137747,-0.063163304,-0.033206888,0.071512268,0.043441203,0.022059405,0.045956249
QLwisuN7VcCujNv_KXHUsA,Filipino Cuisine,FILIPINO CUISINE,1,0,4,4.5,35.5399591,-78.7482235,Angier,27501,https://www.yelp.com/biz/filipino-cuisine-angier?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.071101607,0.157294632,-0.091497205,-0.13314366,0.026145046,-0.494492968,0.067997053,-0.008865724,-0.229217976,-0.291087887,-0.093011359,0.029650621,0.058056674,0.200822651,0.496405204,-0.386977197,0.174625657,-0.13853367,-0.179544717,0.206446938,0.340630948,0.196010326,-0.131892793,0.063025776,-0.087859458,-0.049927678,0.134026266,-0.099251373,0.125139684,0.099792971,0.075056373,-0.021665027,0.057709833,-0.068559919,-0.140637076,-0.1381777,-0.174234561,-0.088509954,-0.002323335,0.077250598,0.159154904,0.075500087,-0.09653947,0.184710718,0.151314658,0.100697803,-0.015902358,-0.053946717,-0.077523568,0.015624882,0.162294522,0.114558362,-0.000501729,-0.003561361,-0.120178312,0.07569982,-0.058440399,-0.122638301,-0.071509374,0.061142361,-0.003165008,-0.051997237,0.006173384,0.061006338,0.13333286,0.057397457,-0.134884666,0.100674624,0.032511684,0.128339727,0.12334501,-0.01879949,-0.111818057,-0.205789016,-0.032716752,-0.069357165,-0.066793325,-0.097588348,0.011982475,-0.105540159,0.189522496,0.002605774,-0.075380097,0.267437846,0.095468736,-0.167189259,0.184983457,0.044522424,-0.157394844,0.070683088,0.115923753,-0.075754335,-0.01762512,-0.201944718,-0.029219965,0.043251688,0.080677672,-0.1158289,-0.108993988,-0.2471056
JMK6lxESw_OMNIOBFNDDhQ,Himalayan Nepali Cuisine,HIMALAYAN NEPALI CUISINE,1,0,3,4.5,35.7907891,-78.76692632,Cary,27511,https://www.yelp.com/biz/himalayan-nepali-cuisine-cary?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030128455,0.072541784,0.547651933,-0.368219199,0.128995825,0.061020588,0.114779412,-0.206322966,0.160314095,-0.126825552,-0.377172028,-0.155973785,-0.197111343,0.08844041,-0.123494979,-0.087887304,0.126243775,0.202773821,-0.087698325,-0.084383023,-0.184640142,-0.111307991,0.059945613,-0.094099014,-0.053229222,-0.02973656,-0.14008874,0.068713729,0.113948943,0.02546776,-0.073506024,-0.19829946,-0.05254593,-0.063218486,-0.027449425,-0.196925297,0.203912851,-0.039399895,0.129046311,-0.00844867,-0.049837617,-0.000264947,0.08033571,0.094732866,0.187404111,0.14735674,-0.142267883,0.15965405,-0.034344564,-0.156837075,-0.0474619,0.099691225,-0.099700469,-0.041340939,0.048117191,0.159978821,-0.035162737,0.064989216,-0.050729481,0.061084037,0.135878591,0.15016325,0.048481937,-0.012276052,-0.124332746,-0.106306386,0.084591965,-0.049725708,0.02154541,-0.087550719,0.064495466,0.077155149,-0.062131242,0.0003632,0.044913972,-0.004640141,-0.066302201,-0.147392915,-0.078618867,0.078493582,0.098376465,0.037213308,0.002072127,-0.058828709,0.011422935,-0.018656298,-0.107931965,0.070205312,0.016799961,0.001508373,-0.111110871,-0.053734466,-0.030159747,-0.033771289,0.012585935,0.032766159,0.098786567,0.057828183,-0.03130923,-0.065149275
v8WF7oUBkOIPAXbJhW4m-g,Centro,Centro,1,0,11,4,35.77927017,-78.63844299,Raleigh,27601,https://www.yelp.com/biz/centro-raleigh?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324012445,-0.165428776,-0.100233551,0.20522054,0.179085164,-0.322295287,-0.10085776,0.168692474,0.084357879,-0.155837606,0.34184149,-0.104797478,0.220440209,-0.077737189,-0.132747133,-0.208590822,0.284204098,-0.09426134,0.406900825,-0.106865862,0.11373619,0.131329532,0.359513892,-0.004558472,-0.052006825,0.026622029,0.147841004,0.197303576,-0.118272676,0.058326224,0.077377942,0.139509168,0.17077388,0.183886404,0.015673185,0.086086666,0.1189935,0.044733549,0.207972262,-0.016963978,-0.174870016,-0.066013973,-0.097136577,-0.288165506,0.091978105,0.022551865,-0.074462751,-0.100685858,-0.20539112,-0.005159024,0.205232402,-0.032596093,-0.172111803,0.077026727,0.151189747,0.076915641,0.10470353,0.123048587,-0.102464039,0.011118039,-0.029662212,-0.073639859,-0.068547666,0.100685614,0.016637077,0.166418386,0.054044098,0.107538804,-0.112998404,-0.084831838,0.11001015,0.183149215,0.056178845,-0.006359389,-0.092571642,0.059968369,-0.08351289,0.075454993,-0.094496596,-0.026191673,0.037738721,-0.069739866,-0.167502296,-0.080615165,-0.082113315,-0.078318754,0.054355197,0.104584165,-0.012606885,-0.139057345,-0.022809144,0.05699756,-0.02529409,-0.037973586,0.066673931,0.017774973,-0.036792232,0.121355125,-0.027788187,-0.154945813
Sj0DzIibdWJ2q5dUgOsgZA,Capital City Chop House,CAPITAL CITY CHOP HOUSE,1,0,18,3.5,35.86343765,-78.81478119,Morrisville,27560,https://www.yelp.com/biz/capital-city-chop-house-morrisville-4?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.295495597,0.241541476,-0.154245903,-0.012463532,-0.213618333,-0.078984067,-0.017451202,-0.110336792,0.07802871,-0.150935103,0.414516985,0.117169836,-0.334327667,0.04959971,-0.123623941,0.579140049,-0.25898619,0.216943363,-0.118070132,0.141327961,0.145495755,0.198511461,0.192916096,0.171657275,0.131838577,-0.037195642,-0.304584561,-0.124191082,0.226406032,-0.028014986,0.115643269,0.132763247,-0.06243533,0.060645543,0.117286493,0.170344804,0.109630091,0.201216221,-0.066480848,0.130056425,-0.065231625,0.110803587,0.272178625,-0.004697912,-0.063346214,-0.064969976,-0.08283961,-0.11814555,-0.022882344,0.031715483,-0.143065663,-0.067050271,0.24352304,0.001434387,0.040482093,0.039704149,-0.150681787,-0.058378625,0.01431742,0.242694367,0.150439183,0.009117386,-0.18249033,-0.343826919,-0.040845688,0.020494074,0.077153573,0.119597441,-0.090769919,-0.042772557,-0.008224254,-0.024135913,0.173258186,-0.017765218,-0.172728601,-0.006805142,-0.00085671,-0.051517065,-0.069479833,0.003677722,0.059217184,-0.030855777,-0.061411146,0.053994832,0.00568898,0.183245661,0.078390778,-0.088569049,-0.102149799,-0.055107814,-0.013566145,0.185116943,-0.033874461,0.094931136,-0.087532969,-0.008147958,0.072131036,0.0489214,0.027083855,-0.02890413
wVOPIDoZIE_BodI5YBzN1g,Waffle House,Waffle House,1,0,14,2.5,35.592573,-78.7719723,Fuquay Varina,27526,https://www.yelp.com/biz/waffle-house-fuquay-varina?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.448104788,-0.215448814,0.076465846,0.046924345,0.039001187,-0.068188538,-0.05589983,-0.254569059,-0.014627009,-0.140164704,-0.024117091,0.025053642,-0.077110168,0.159756936,-0.091881304,-0.038662695,0.10199939,-0.106408242,0.13766601,-0.023381218,-0.127415386,0.217987518,-0.225107101,0.030123624,0.003786756,0.000865846,-0.06734461,-0.039763736,-0.034396058,-0.105366423,-0.064856423,0.074217909,-0.045900545,-0.136712271,-0.013593073,0.102797853,-0.007158642,-0.085087144,0.006501837,-0.179174266,-0.261434001,0.002764305,-0.154974947,0.07145676,-0.005201905,-0.086057062,-0.151401374,-0.015392221,0.082952014,-0.134752675,-0.073307394,0.426266839,-0.115928593,-0.058701902,-0.066162234,-0.06096558,-0.025228248,0.075750473,0.183956649,0.04762811,-0.056653618,-0.133694849,0.041554353,-0.197412011,0.199567112,0.030137937,-0.126642124,-0.219097774,0.168276902,-0.110155526,0.102096891,-0.014275951,-0.20075717,0.084141485,0.063172819,0.025925014,-0.318196907,-0.076291049,0.048599212,0.044045271,0.046192722,0.15174779,0.018877778,0.131355499,0.239754389,-0.090838692,-0.00191835,-0.122139515,0.123287335,0.055293628,-0.064120667,-0.00703647,-0.034586905,0.191008266,0.023530942,-0.081020084,0.089153349,-0.242614744,0.183447388,-0.121550904
4pVnkU7AqZua7KVa9P_l4Q,Mellow Mushroom,MELLOW MUSHROOM,1,0,7,3.5,35.7902,-78.8281499,Cary,27513,https://www.yelp.com/biz/mellow-mushroom-cary?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.308535547,-0.099677823,-0.338916847,0.0530816,-0.2154333,-0.027665482,0.249580928,0.198265163,0.384177885,0.141443637,-0.310907006,0.086831827,0.435382075,0.125248516,0.182897295,0.381099847,0.12472087,0.179912514,-0.063608234,0.067024432,0.045135249,-0.155666413,-0.126466462,-0.053901735,-0.046182899,-0.090622886,-0.030706458,0.100203514,0.303169709,0.086952427,-0.035204034,-0.028197356,0.073023394,-0.170837211,-0.235420337,-0.163182548,-0.1554186,-0.060465835,-0.110183286,-0.061512017,-0.074999236,-0.014438567,0.052611291,-0.259665633,-0.088615135,0.144728776,-0.223539589,0.146513381,0.152198206,0.092508867,0.132544543,-0.075083577,0.051361876,0.091080239,-0.014506899,-0.04162596,-0.01749418,0.043260739,-0.08506676,-0.095439935,0.00740348,-0.067402168,-0.162920184,-0.115732006,0.174451183,-0.117797015,-0.002617162,0.133881616,0.04104698,0.074495091,-0.072209516,0.034242063,0.084128383,0.055632385,0.030129935,-0.11766511,0.061779044,-0.088248264,-0.009976436,0.027462296,-0.007691755,0.05215781,0.006154879,0.132494436,0.055972961,-0.139160737,0.020535015,-0.219860025,0.085725881,-0.062091202,-0.019611546,-0.028425581,0.136019322,-0.140877605,0.090393372,-0.010447015,-0.154931916,-0.067094236,-0.090781853,0.045835105
PCNmtbazpd1XW0TV8ZHZLA,Peri Brothers Pizza,PERI BROTHERS PIZZA,1,0,3,4.5,35.879901,-78.647028,Raleigh,27615,https://www.yelp.com/biz/peri-brothers-pizza-raleigh-4?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.473854717,-0.327129568,0.349989065,-0.024646079,-0.060413834,0.090377659,-0.249597215,0.630414599,0.120804297,-0.158836185,0.301197354,-0.450869529,0.426012255,0.563830452,0.259484819,0.864291872,0.578495662,-0.209865946,0.297568134,0.484547748,-0.166014539,0.212981787,-0.016396535,-0.040538037,-0.120805165,-0.016940903,-0.14276857,-0.115278393,0.106188687,0.158604857,-0.157551413,-0.185733054,-0.022548888,0.174202938,0.197618974,0.071378418,0.026599563,0.028107344,0.101755611,0.156715782,-0.051292176,-0.240603,-0.076735118,-0.040758645,-0.069169435,0.095066477,-0.086854414,0.124065765,0.144209817,0.030745329,0.032383165,0.174398684,0.084343452,-0.033600436,-0.168260749,0.016860357,0.065821258,-0.093076006,-0.188637779,-0.108478531,0.07847101,-0.115536933,0.014404967,-0.022995443,-0.125505228,-0.010960612,0.023334074,0.033742705,-0.010054121,-0.053532938,0.148393263,-0.042430089,0.026780483,-0.092958591,-0.203478335,-0.002520937,0.023545302,0.075431854,-0.086561462,-0.084195289,0.074975199,-0.145246027,0.104098466,-0.036865688,0.022656561,-0.027325114,-0.047545422,-0.054732799,0.013728898,0.0588614,-0.061989924,0.122892817,0.014906549,-0.116927903,-0.06771938,-0.034993524,-0.098941217,0.122158384,-0.101945104,-0.018419124
pOd8unbe5fOBgS8EojCK7A,Brew N Que,BREW N QUE,1,0,2,4,35.7445342,-78.8847649,Apex,27502,https://www.yelp.com/biz/brew-n-que-apex-2?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371093642,0.225673013,0.126965797,0.002352449,0.809251918,0.008188797,0.081367374,0.075029373,0.099672169,0.07873501,-0.165745408,-0.111223618,0.207364726,-0.11716626,-0.310892778,-0.011456308,-0.097332026,0.139457973,0.072512743,-0.057755916,-0.058080207,0.164723702,0.005023965,0.136512544,-0.00674074,0.147947491,-0.087736526,-0.005671651,0.002204498,-0.077274252,-0.091813995,0.347780048,-0.330808926,-0.009311682,-0.037598588,-0.192669461,-0.031692168,0.11268314,-0.076198872,0.035386203,-0.017032995,-0.00932553,0.033060938,0.104569145,0.081433953,0.069681941,0.082087679,0.091576751,0.104790012,0.014781305,0.011133452,-0.014737226,-0.021286436,-0.212338836,0.123261095,0.046129501,0.074004261,0.087829342,-0.082962934,0.111248379,0.306368436,0.092822934,-0.153121483,0.00079036,0.023135883,0.005798401,-0.135505326,-0.029662823,-0.00998928,0.067855471,0.167989769,0.037185157,0.100365517,-0.138951525,0.017550758,0.118642882,0.021632449,-0.010469146,0.029026877,-0.062056367,-0.004945791,0.000685926,-0.044543626,0.17477493,-0.159778937,-0.050530829,0.064973706,0.048238347,0.020645444,-0.012452939,-0.206678202,0.235601918,-0.002964294,-0.1212514,0.105647838,0.01869982,0.016127285,-0.027319585,-0.18323333,0.066846893
