,LogisticSet
0,price_$
1,review_pca_57
2,review_pca_312
3,review_pca_240
4,category_tradamerican
5,category_chinese
6,review_pca_99
7,review_pca_131
8,category_breweries
9,review_pca_335
10,review_pca_336
11,review_pca_98
12,review_pca_248
13,category_bars
14,review_pca_59
15,category_icecream
16,review_pca_290
17,category_seafood
18,review_pca_112
19,review_pca_73
20,city_Morrisville
21,category_bakeries
22,city_Apex
23,review_pca_195
24,review_pca_199
25,review_pca_19
26,review_pca_303
27,category_japanese
28,category_bbq
29,category_southern
30,category_bagels
31,category_gluten_free
32,review_pca_116
33,category_italian
34,category_diners
35,category_buffets
36,category_sportsbars
37,category_indpak
38,category_cocktailbars
39,category_pubs
40,category_steak
41,category_tex-mex
42,review_pca_92
43,review_pca_145
44,category_mediterranean
45,review_pca_3
46,city_Rolesville
47,city_Durham
48,review_pca_20
49,city_Wendell
50,category_catering
51,city_West_Cary
52,city_Angier
53,review_pca_143
54,category_asianfusion
55,category_beerbar
56,review_pca_203
57,category_chicken_wings
58,review_pca_72
59,review_pca_213
