,LogisticSet
0,city_Wake_Forest
1,review_pca_10
2,review_pca_41
3,review_pca_82
4,city_Garner
5,review_pca_160
6,review_pca_151
7,city_Cary
8,review_pca_312
9,review_pca_49
10,review_pca_290
11,review_pca_237
12,review_pca_240
13,review_pca_112
14,review_pca_271
15,review_pca_64
16,review_pca_179
17,review_pca_131
18,review_pca_163
19,review_pca_118
20,review_pca_297
21,review_pca_190
22,review_pca_229
23,review_pca_336
24,review_pca_225
25,review_pca_108
26,review_pca_323
27,review_pca_203
28,review_pca_37
29,review_pca_247
30,review_pca_307
31,review_pca_294
32,review_pca_255
33,review_pca_341
34,review_pca_133
35,review_pca_202
36,review_pca_156
37,city_Rolesville
38,review_pca_152
39,review_pca_119
40,review_pca_253
41,city_West_Cary
42,review_pca_141
43,review_pca_177
44,review_pca_256
45,review_pca_155
46,review_pca_211
47,review_pca_316
48,review_pca_317
49,city_Angier
50,review_pca_213
51,review_pca_337
52,review_pca_314
