,LogisticSet
0,category_breweries
1,price_$
2,category_coffee
3,category_beer_and_wine
4,category_chinese
5,city_Garner
6,category_burgers
7,category_tex-mex
8,category_southern
9,category_sportsbars
10,category_beerbar
11,category_servicestations
12,city_Rolesville
13,category_diners
14,category_seafood
15,category_indpak
16,category_steak
17,category_pubs
18,category_bagels
19,city_Wake_Forest
20,category_japanese
21,category_catering
22,city_Wendell
23,category_delis
24,category_bbq
25,category_gluten_free
26,city_Fuquay_Varina
27,category_tradamerican
28,category_salad
29,category_bars
30,category_bakeries
31,city_Durham
32,city_Angier
33,city_West_Cary
34,category_buffets
35,category_newamerican
