HSISID,NAME,ADDRESS1,CITY,RESTAURANTOPENDATE,X,Y,CRITICAL_VIOLATIONS
4092016990,CAROLINA ALE HOUSE,400 CONSERVATION DR ,GARNER,2015-07-16T00:00:00.000Z,0.0,0.0,16.0
4092015471,CHICK-FIL-A #2181,801 VILLAGE WALK  DR ,HOLLY SPRING,2009-09-02T00:00:00.000Z,-78.83457704,35.639215899999996,3.0
4092017796,Osteria G,5160 Sunset Lake RD ,HOLLY SPRINGS,2018-02-16T00:00:00.000Z,-78.79910505,35.66774596,3.0
4092016574,ZAXBY'S #44901,101 GRAND HILL PL ,HOLLY SPRINGS,2013-11-21T00:00:00.000Z,-78.85029671,35.6590441,1.0
4092014182,NY Pizza,634 Holly Spring RD,HOLLY SPRINGS,2004-11-05T00:00:00.000Z,-78.82480349,35.65381034,5.0
4092014958,Papa's Subs and Pizza,511 N Main ST ,HOLLY SPRINGS,2007-09-07T00:00:00.000Z,-78.83687096,35.65966057,3.0
4092018091,HAMPTON INN & SUITES BREAKFAST HOLLY SPRINGS,1050 S MAIN ST ,HOLLY SPRINGS,2019-04-24T00:00:00.000Z,-78.83785306,35.63626484,0.0
4092017075,TAPLINE GROWLER,1110 KENTWORTH DR ,HOLLY SPRINGS,2015-11-03T00:00:00.000Z,-78.8299761,35.6377161,0.0
4092017019,CAROLINA BREWING COMPANY TAPROOM,140 THOMAS MILL RD ,HOLLY SPRINGS,2015-09-01T00:00:00.000Z,-78.85473675,35.65649365,0.0
4092015197,PANDA GARDEN,5249 SUNSET LAKE RD ,HOLLY SPRINGS,2008-08-12T00:00:00.000Z,-78.79654321,35.66684152,13.0
4092017053,CHILI'S GRILL & BAR #1566,111 GRAND HILL PL ,HOLLY SPRINGS,2015-10-09T00:00:00.000Z,-78.84935077,35.65965931,8.0
4092017877,Jersey Mike's #3176,242 Grand Hill PL ,HOLLY SPRINGS,2018-06-29T00:00:00.000Z,-78.84589577,35.66566859,4.0
4092016470,OLIVE GARDEN #4441,107 GRAND HILL PL ,HOLLY SPRINGS,2013-07-30T00:00:00.000Z,-78.84948074,35.66266499,13.0
4092017238,Mediterra,108 GRAND HILL PL ,HOLLY SPRINGS,2016-06-09T00:00:00.000Z,-78.84948074,35.66266499,12.0
4092017828,Panera Bread #6039,231 Grand Hill PL ,HOLLY SPRINGS,2018-04-10T00:00:00.000Z,-78.84472443,35.66506502,4.0
4092018053,Skrimp Shack #21,7224 GB Alford HWY ,Holly Springs,2019-02-12T00:00:00.000Z,-78.83292714,35.63500021,0.0
4092017831,DUNKIN DONUTS #350292,1501 WERRINGTON  DR ,HOLLY SPRINGS,2018-04-25T00:00:00.000Z,-78.83014198,35.63738585,13.0
4092017541,RISE BISCUITS & DONUTS,169 GRAND HILL PL ,HOLLY SPRINGS,2017-03-03T00:00:00.000Z,-78.84948074,35.66266499,14.0
4092016842,DQ GRILL & CHILL #43767,601 VILLAGE WALK DR ,HOLLY SPRINGS,2014-12-29T00:00:00.000Z,-78.83592869,35.6398289,7.0
4092017488,MI CANCUN,324 GRAND HILL PL ,HOLLY SPRINGS,2016-12-14T00:00:00.000Z,-78.84367420000001,35.66711942,11.0
4092017067,IHOP #2130,7304 GB ALFORD HWY ,HOLLY SPRINGS,2015-10-30T00:00:00.000Z,-78.83000659,35.63485246,4.0
4092018005,Sheetz #659,1100 Avent Ferry RD ,Holly Springs,2018-12-17T00:00:00.000Z,-78.8446495,35.63913787,0.0
4092017192,STARBUCKS #19453,185 GRAND HILL PL ,HOLLY SPRINGS,2016-04-05T00:00:00.000Z,-78.84948074,35.66266499,1.0
4092013910,Devils Ridge Golf Club,5107 Linksland Dr ,HOLLY SPRINGS,2003-10-10T00:00:00.000Z,-78.80138378,35.65562891,11.0
4092016977,MCDONALDS #32242,7100 GB ALFORD HWY ,HOLLY SPRINGS,2015-07-14T00:00:00.000Z,-78.83107956,35.63625053,3.0
4092018197,Sweetberry Bowls Holly Springs,150 W HOLLY SPRINGS RD ,HOLLY SPRINGS,2019-10-11T00:00:00.000Z,-78.83553072,35.65494576,0.0
4092016585,NICHE WINE LOUNGE,109 N MAIN ST ,HOLLY SPRINGS,2013-12-11T00:00:00.000Z,-78.8340312,35.65161684,1.0
4092018021,Eggs Up Grill #31,4216 Lassiter RD ,Holly Springs,2019-01-03T00:00:00.000Z,-78.79440661,35.66435998,0.0
4092014973,Sonic Drive-In #3975,700 Cayman AVE ,HOLLY SPRINGS,2007-08-01T00:00:00.000Z,-78.83534808,35.66114172,1.0
4092016858,THE MASON JAR TAVERN,114 GRAND HILL PLACE,HOLLY SPRINGS,2015-01-16T00:00:00.000Z,-78.84948074,35.66266499,10.0
4092017318,FREDDY'S FROZEN CUSTARD & STEAKBURGERS #3207,221 GRAND HILL PL ,HOLLY SPRINGS,2016-09-08T00:00:00.000Z,-78.84526788,35.66457162,4.0
4092016398,ACME PIZZA CO,204 Village Walk DR ,HOLLY SPRINGS,2013-04-08T00:00:00.000Z,-78.83920922,35.63987917,4.0
4092018063,Triangle Wine Company,4204 Lassiter RD ,Holly Springs,2019-02-27T00:00:00.000Z,-78.79440661,35.66435998,0.0
4092015856,PIZZA HUT #9210,321  N MAIN ST ,HOLLY SPRINGS,2011-01-04T00:00:00.000Z,-78.83511868,35.65582685,5.0
4092018083,The Blind Pelican,120 Bass Lake RD ,Holly Springs,2019-04-15T00:00:00.000Z,-78.82480349,35.65381034,0.0
4092015567,MY WAY TAVERN,301  W CENTER ST ,HOLLY SPRINGS,2010-01-29T00:00:00.000Z,-78.83406158,35.65096874,13.0
4092016189,BURGER KING #17359,851 VILLAGE WALK DR ,HOLLY SPRINGS,2012-05-31T00:00:00.000Z,-78.8349912,35.63884148,0.0
4092017850,SEQIRUS CAFE,475 GREEN OAKS PKY ,HOLLY SPRINGS,2018-05-21T00:00:00.000Z,-78.86718952,35.65081231,5.0
4092018092,Harvest Moon Bakery - Cafe,128 Bass Lake RD ,Holly Springs,2019-04-24T00:00:00.000Z,-78.82480349,35.65381034,0.0
4092017990,Tropical Smoothie Cafe,409 Village Walk DR ,Holly Springs,2018-12-03T00:00:00.000Z,-78.83774133,35.64081684,0.0
4092017308,WENDY'S #6319,181 GRAND HILL PL ,HOLLY SPRINGS,2016-09-02T00:00:00.000Z,-78.84762462,35.66221876,4.0
4092015755,FIESTA MEXICANA #6,428 VILLAGE PARK DR ,HOLLY SPRINGS,2011-06-17T00:00:00.000Z,0.0,0.0,11.0
4092013876,Bass Lake Draft House,124 Bass Lake Rd ,HOLLY SPRINGS,2002-08-20T00:00:00.000Z,-78.82480349,35.65381034,12.0
4092016604,BOMBSHELL BEER COMPANY,120  QUANTUM ST ,HOLLY SPRINGS,2014-01-09T00:00:00.000Z,-78.83685095,35.65821728,0.0
4092018211,Town Hall Burger and Beer of Holly Springs,301 MATTHEWS DR,HOLLY SPRINGS,2019-10-30T00:00:00.000Z,-78.79440661,35.66435998,0.0
4092016571,CHINA BEST,632  HOLLY SPRINGS RD ,HOLLY SPRINGS,2013-11-27T00:00:00.000Z,-78.82480349,35.65381034,2.0
4092016386,BUFFALO WILD WINGS #439,121 GRAND HILL PL ,HOLLY SPRINGS,2013-03-12T00:00:00.000Z,-78.84948074,35.66266499,6.0
4092015436,KFC/TACO BELL #118,7108  GB ALFORD HWY ,HOLLY SPRINGS,2009-07-17T00:00:00.000Z,-78.83081103,35.63579652,19.0
4092016410,TIJUANA FLATS BURRITO CO. #182,161 GRAND HILL PL ,HOLLY SPRINGS,2013-04-15T00:00:00.000Z,-78.84948074,35.66266499,17.0
4092017582,HICKORY TAVERN #29,401 VILLAGE WALK DR ,HOLLY SPRINGS,2017-04-17T00:00:00.000Z,-78.83774133,35.64081684,11.0
