OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
157208,04092017687,Pho Sure,7451 Six Forks RD ,,27615,NC,27615,(919) 745-1168,2017-09-27T00:00:00.000Z,Restaurant,8781,-78.64620405,35.88177389,M
157209,04092016052,JD'S TAVERN,800 W WILLIAMS ST ,,APEX,NC,27502,(919) 629-7285,2011-11-23T00:00:00.000Z,Restaurant,18258,-78.86480181,35.73964723,M
157210,04092017169,THE PROVINCIAL,119 N SALEM ST ,,APEX,NC,27502,(919) 372-5921,2016-03-02T00:00:00.000Z,Restaurant,13447,-78.85138015,35.73144128,M
157211,04092021298,Super Target #1932 (Deli),1201 Beaver Creek Commons Dr ,,APEX,NC,27502,(919) 372-1405,2004-11-05T00:00:00.000Z,Food Stand,7736,-78.87777438,35.74487977,M
157212,04092016549,MAMMA  MIA ITALIAN BISTRO,708 LAURA DUNCAN  RD ,,APEX,NC,27502,(919) 363-2228,2013-11-25T00:00:00.000Z,Restaurant,21049,-78.84201223,35.73509961,M
157213,04092021938,CIRCLE K #3797,302 E WILLIAMS ST ,,APEX,NC,27502,(919) 387-3947,2016-02-24T00:00:00.000Z,Food Stand,5122,-78.85121029,35.72585566,M
157214,04092021108,Lowes Foods #184 Meat/Seafood,5400 Apex Peakway ,,APEX,NC,27502,(919) 363-5376,2002-01-08T00:00:00.000Z,Food Stand,17233,0,0,U
157215,04092030354,Taco Boy Chipotle,321 S Salem ST ,,APEX,NC,27502,(626) 393-2860,2018-01-31T00:00:00.000Z,Mobile Food Units,11109,-78.85352033,35.72724081,M
157216,04092015151,Namolis NY Pizzeria,5444 Apex Peakway ,,APEX,NC,27502,(919) 303-4888,2008-06-23T00:00:00.000Z,Restaurant,6422,0,0,U
157217,04092050026,St Mary Magdalene School Cafeteria,625 Magdala PL ,,APEX,NC,27502,(919) 657-4800 ext. 298,2004-08-13T00:00:00.000Z,Private School Lunchrooms,3770,-78.87448735,35.72422747,M
157218,04092015381,BEAVER CREEK CINEMAS 12,1441 Beaver Creek Commons DR,,APEX,NC,27502,(919) 362-7342,2009-04-13T00:00:00.000Z,Restaurant,15456,-78.88323254,35.74554013,M
157219,04092015276,SALEM STREET PUB,113 N SALEM ST ,,APEX,NC,27502,(919) 387-9992,2008-10-31T00:00:00.000Z,Restaurant,14842,-78.85154824,35.73118528,T
