business_id,alias,yelp_name,is_closed,review_count,rating,latitude,longitude,price,location_city,location_zip_code,url
EPtj0yqg1uZWu0kAEudA3w,adelines-indian-cuisine-charlotte-2,Adeline's Indian Cuisine,0,6,4.5,35.26601,-80.95484,?,Charlotte,28214,https://www.yelp.com/biz/adelines-indian-cuisine-charlotte-2?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
WoW0g9Jel8xdf5K5sSNWiw,jazzy-wingz-and-thingz-charlotte,Jazzy Wingz & Thingz,0,2,5,35.26559,-80.95454,?,Charlotte,28214,https://www.yelp.com/biz/jazzy-wingz-and-thingz-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
j7OPOWXw9U2tUsR-f1pnag,mcdonalds-charlotte-58,Mcdonalds,0,1,1,35.256296,-80.981106,?,Charlotte,28214,https://www.yelp.com/biz/mcdonalds-charlotte-58?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
HptvLM6QOQybTYglMu6FvQ,dixie-grill-and-grocery-charlotte,Dixie Grill & Grocery,0,27,4,35.202726,-80.974971,$,Charlotte,28278,https://www.yelp.com/biz/dixie-grill-and-grocery-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
l_8v6XyTaEHmTKmorMrPxg,hissho-sushi-charlotte-3,Hissho Sushi,0,5,3,35.12958,-80.97711,$,Charlotte,28273,https://www.yelp.com/biz/hissho-sushi-charlotte-3?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
3LiLIZvamMchKo-QdsmyRw,wraps-around-the-world-charlotte,Wraps Around The World,0,10,4.5,35.10770621,-80.97498961,$,Charlotte,28273,https://www.yelp.com/biz/wraps-around-the-world-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
3LiLIZvamMchKo-QdsmyRw,wraps-around-the-world-charlotte,Wraps Around The World,0,10,4.5,35.10770621,-80.97498961,$,Charlotte,28273,https://www.yelp.com/biz/wraps-around-the-world-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
EPtj0yqg1uZWu0kAEudA3w,adelines-indian-cuisine-charlotte-2,Adeline's Indian Cuisine,0,6,4.5,35.26601,-80.95484,?,Charlotte,28214,https://www.yelp.com/biz/adelines-indian-cuisine-charlotte-2?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
snAptnCpk3LagN3nJwPAZg,k-and-n-barbeque-charlotte,K & N Barbeque,0,8,3.5,35.27549778,-80.97066857,$$,Charlotte,28214,https://www.yelp.com/biz/k-and-n-barbeque-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
NQsw-lJvcsWJMCnPdrdhhA,bonzai-thai-and-japanese-cuisine-charlotte,Bonzai Thai & Japanese Cuisine,0,74,4,35.17187128,-80.96356042,$$,Charlotte,28278,https://www.yelp.com/biz/bonzai-thai-and-japanese-cuisine-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
SQII8W75fv4wJYhmAiDPWg,the-jerk-joint-jamaican-restaurant-charlotte,The Jerk Joint Jamaican Restaurant,0,98,3.5,35.171414,-80.964078,$$,Charlotte,28278,https://www.yelp.com/biz/the-jerk-joint-jamaican-restaurant-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
