business_id,alias,title
1HqUHUKfuRbHYm3NoIzJQA,sportsbars,Sports Bars
1HqUHUKfuRbHYm3NoIzJQA,newamerican,American (New)
1HqUHUKfuRbHYm3NoIzJQA,chicken_wings,Chicken Wings
134gr4cxHe2gPZX1nBkoNw,indpak,Indian
134gr4cxHe2gPZX1nBkoNw,buffets,Buffets
GXT6RK76TnZUvrms65KhSw,sandwiches,Sandwiches
F0rQyd9RvNzX52OLFivK0g,pizza,Pizza
XlQXrSdGoLYUay2rPamAIA,coffee,Coffee & Tea
7Uc7XsecBy9jG2xbOIOx5A,burgers,Burgers
5r7N7NxdBMejq8xnnBVzyA,poke,Poke
5r7N7NxdBMejq8xnnBVzyA,noodles,Noodles
Ci7DMWTv4RGgP90ZlfQ3OA,hotels,Hotels
yKezt16xGSGg3dZYbqG2uw,chicken_wings,Chicken Wings
yKezt16xGSGg3dZYbqG2uw,pizza,Pizza
yKezt16xGSGg3dZYbqG2uw,sandwiches,Sandwiches
BTneLNd3fVYXgZEOPSRjMw,noodles,Noodles
34pHN3bBTMRDOL4QdvUwBw,southern,Southern
34pHN3bBTMRDOL4QdvUwBw,soulfood,Soul Food
34pHN3bBTMRDOL4QdvUwBw,bbq,Barbeque
wI6nLazDgK1N8VUmQPI4hQ,tradamerican,American (Traditional)
wI6nLazDgK1N8VUmQPI4hQ,steak,Steakhouses
wI6nLazDgK1N8VUmQPI4hQ,seafood,Seafood
HkAiUjAhkq774UzHXFgwoA,pizza,Pizza
HkAiUjAhkq774UzHXFgwoA,italian,Italian
HkAiUjAhkq774UzHXFgwoA,breakfast_brunch,Breakfast & Brunch
LPA9u8c1IETmOVUuxIiDXA,pizza,Pizza
LPA9u8c1IETmOVUuxIiDXA,salad,Salad
LPA9u8c1IETmOVUuxIiDXA,sandwiches,Sandwiches
u1SYTkN93NJdMk1tkmQQ8A,coffeeroasteries,Coffee Roasteries
u1SYTkN93NJdMk1tkmQQ8A,newamerican,American (New)
u1SYTkN93NJdMk1tkmQQ8A,vegetarian,Vegetarian
3qrsg7GHqgcAkbx6Dn8T5A,sandwiches,Sandwiches
3qrsg7GHqgcAkbx6Dn8T5A,salad,Salad
3qrsg7GHqgcAkbx6Dn8T5A,soup,Soup
jA_SVToY-Ky8324F70OKQg,steak,Steakhouses
f84LQ7VVHa_uMkFWk5BamA,pizza,Pizza
f84LQ7VVHa_uMkFWk5BamA,italian,Italian
6s9-9b9a0I3hHcNeyug-Hg,breakfast_brunch,Breakfast & Brunch
6s9-9b9a0I3hHcNeyug-Hg,tradamerican,American (Traditional)
6s9-9b9a0I3hHcNeyug-Hg,catering,Caterers
b_BPNlQdKvB731Dv-sIrNA,sportsbars,Sports Bars
voOILw4KvdEyyE2R4Fjmeg,healthmarkets,Health Markets
voOILw4KvdEyyE2R4Fjmeg,grocery,Grocery
fhjCVbkFpc45EErUirfcWg,pastashops,Pasta Shops
fhjCVbkFpc45EErUirfcWg,cookingclasses,Cooking Classes
fhjCVbkFpc45EErUirfcWg,importedfood,Imported Food
F4TQ9igFdcmM7LcGkfHFNg,seafood,Seafood
F4TQ9igFdcmM7LcGkfHFNg,breakfast_brunch,Breakfast & Brunch
F4TQ9igFdcmM7LcGkfHFNg,sportsbars,Sports Bars
2p-tBAcUyO2G0DEuvMez0A,sushi,Sushi Bars
2p-tBAcUyO2G0DEuvMez0A,asianfusion,Asian Fusion
4Ld4jd0ePSNV8VgB5tKbbg,pizza,Pizza
4Ld4jd0ePSNV8VgB5tKbbg,italian,Italian
PbSSlZ8wqF6QhBpcWCSQ1Q,burgers,Burgers
PbSSlZ8wqF6QhBpcWCSQ1Q,juicebars,Juice Bars & Smoothies
PbSSlZ8wqF6QhBpcWCSQ1Q,sandwiches,Sandwiches
8MgS4Y0osFNs9SrGZmmXug,asianfusion,Asian Fusion
8MgS4Y0osFNs9SrGZmmXug,bars,Bars
8MgS4Y0osFNs9SrGZmmXug,tapasmallplates,Tapas/Small Plates
Ox9FEYNHo_nvxicXcj9kzw,southern,Southern
Ox9FEYNHo_nvxicXcj9kzw,bbq,Barbeque
Ox9FEYNHo_nvxicXcj9kzw,cocktailbars,Cocktail Bars
St5levK8eKbxemLucdF6kw,coffee,Coffee & Tea
ZvLztB4iBUxlF4N11Zu_QQ,tradamerican,American (Traditional)
ZvLztB4iBUxlF4N11Zu_QQ,sportsbars,Sports Bars
ZvLztB4iBUxlF4N11Zu_QQ,burgers,Burgers
ZIZhs6Sd3hRyHBX7dTae0g,bars,Bars
ZIZhs6Sd3hRyHBX7dTae0g,cafes,Cafes
ZIZhs6Sd3hRyHBX7dTae0g,coffee,Coffee & Tea
ume_diLn-OEd_DeHlMGBsQ,tradamerican,American (Traditional)
CF_uTbpLs6kBEOzvQquwCQ,burgers,Burgers
CF_uTbpLs6kBEOzvQquwCQ,tradamerican,American (Traditional)
CF_uTbpLs6kBEOzvQquwCQ,icecream,Ice Cream & Frozen Yogurt
52bwJsY7oOf3gq_rpv7NRw,szechuan,Szechuan
Yw_n7h3mwjwyUGKjoQEAvQ,newamerican,American (New)
Yw_n7h3mwjwyUGKjoQEAvQ,breakfast_brunch,Breakfast & Brunch
Yw_n7h3mwjwyUGKjoQEAvQ,gastropubs,Gastropubs
XYoQu4XHi5AXduc4OwkFGA,sushi,Sushi Bars
XYoQu4XHi5AXduc4OwkFGA,thai,Thai
a0V_q4NPi2L8rxrLTijSbw,hotdogs,Fast Food
a0V_q4NPi2L8rxrLTijSbw,chicken_wings,Chicken Wings
a0V_q4NPi2L8rxrLTijSbw,salad,Salad
r4lJEp40iyBZrTmUWqvIRg,pizza,Pizza
r4lJEp40iyBZrTmUWqvIRg,italian,Italian
iXR45_Z7NQ-BjDLiBtypxQ,pizza,Pizza
X-mrYfQGAALmAtTGs8I--w,bbq,Barbeque
X-mrYfQGAALmAtTGs8I--w,tradamerican,American (Traditional)
X-mrYfQGAALmAtTGs8I--w,southern,Southern
6hN4Eufi_bn8MxW9TTImSQ,vietnamese,Vietnamese
kiIbdtsMfWVJ8XlX43v4wA,hotdog,Hot Dogs
kiIbdtsMfWVJ8XlX43v4wA,burgers,Burgers
kiIbdtsMfWVJ8XlX43v4wA,newamerican,American (New)
#NAME?,szechuan,Szechuan
#NAME?,hotpot,Hot Pot
