business_id,alias,title
EPtj0yqg1uZWu0kAEudA3w,indpak,Indian
EPtj0yqg1uZWu0kAEudA3w,foodtrucks,Food Trucks
WoW0g9Jel8xdf5K5sSNWiw,foodstands,Food Stands
WoW0g9Jel8xdf5K5sSNWiw,chicken_wings,Chicken Wings
WoW0g9Jel8xdf5K5sSNWiw,hotdog,Hot Dogs
j7OPOWXw9U2tUsR-f1pnag,hotdogs,Fast Food
j7OPOWXw9U2tUsR-f1pnag,coffee,Coffee & Tea
j7OPOWXw9U2tUsR-f1pnag,burgers,Burgers
HptvLM6QOQybTYglMu6FvQ,burgers,Burgers
HptvLM6QOQybTYglMu6FvQ,hotdog,Hot Dogs
HptvLM6QOQybTYglMu6FvQ,chicken_wings,Chicken Wings
l_8v6XyTaEHmTKmorMrPxg,japanese,Japanese
l_8v6XyTaEHmTKmorMrPxg,sushi,Sushi Bars
3LiLIZvamMchKo-QdsmyRw,foodtrucks,Food Trucks
3LiLIZvamMchKo-QdsmyRw,wraps,Wraps
3LiLIZvamMchKo-QdsmyRw,foodtrucks,Food Trucks
3LiLIZvamMchKo-QdsmyRw,wraps,Wraps
EPtj0yqg1uZWu0kAEudA3w,indpak,Indian
EPtj0yqg1uZWu0kAEudA3w,foodtrucks,Food Trucks
snAptnCpk3LagN3nJwPAZg,bbq,Barbeque
NQsw-lJvcsWJMCnPdrdhhA,japanese,Japanese
NQsw-lJvcsWJMCnPdrdhhA,thai,Thai
SQII8W75fv4wJYhmAiDPWg,caribbean,Caribbean
SQII8W75fv4wJYhmAiDPWg,burgers,Burgers
SQII8W75fv4wJYhmAiDPWg,sandwiches,Sandwiches
s2B_ZeSGTlQ3qbm0dOY5rg,tradamerican,American (Traditional)
s2B_ZeSGTlQ3qbm0dOY5rg,burgers,Burgers
s2B_ZeSGTlQ3qbm0dOY5rg,icecream,Ice Cream & Frozen Yogurt
RI1rKMh5RiJ1hISIVcSsWQ,desserts,Desserts
RI1rKMh5RiJ1hISIVcSsWQ,bakeries,Bakeries
1PYFn3TX0zAOydMyKpQVnQ,gourmet,Specialty Food
1PYFn3TX0zAOydMyKpQVnQ,asianfusion,Asian Fusion
Cr6Q5CAyezx7ivz2UsaghA,coffee,Coffee & Tea
FTbNkCQyXjRqK0zJM70pmA,steak,Steakhouses
HWg0C5_GscWB9fRHvHkq_Q,chinese,Chinese
G2hTYYzvlg75BisWSHarLQ,italian,Italian
G2hTYYzvlg75BisWSHarLQ,pizza,Pizza
qf3xjfldVqjUKYWrPE4dtg,hotdogs,Fast Food
qf3xjfldVqjUKYWrPE4dtg,pizza,Pizza
hC4d4JHnGbL9ZdrOQVXikw,tex-mex,Tex-Mex
hC4d4JHnGbL9ZdrOQVXikw,sportsbars,Sports Bars
hC4d4JHnGbL9ZdrOQVXikw,mexican,Mexican
EvPp-4ALV0MQQpOAAybMAQ,chickenshop,Chicken Shop
EvPp-4ALV0MQQpOAAybMAQ,hotdogs,Fast Food
R3BBuHmher7d0QouLbJLjQ,delis,Delis
R3BBuHmher7d0QouLbJLjQ,salad,Salad
R3BBuHmher7d0QouLbJLjQ,sandwiches,Sandwiches
eEvTnwKH_wRrm2nekXrKXQ,tacos,Tacos
nir0Fr_oIwUq2nXQ-N1iEQ,coffee,Coffee & Tea
3nRaWjtgTxoqtpHKJy5u4g,hotdogs,Fast Food
sdjkEXdhbSO3QOJpOvLKkQ,burgers,Burgers
sdjkEXdhbSO3QOJpOvLKkQ,hotdogs,Fast Food
sdjkEXdhbSO3QOJpOvLKkQ,coffee,Coffee & Tea
xlUoy-OVO-EgZzfiHJk1Hg,hotdogs,Fast Food
xlUoy-OVO-EgZzfiHJk1Hg,burgers,Burgers
e1UF53wfi3HKNmPHzc3OLg,chicken_wings,Chicken Wings
e1UF53wfi3HKNmPHzc3OLg,hotdogs,Fast Food
e1UF53wfi3HKNmPHzc3OLg,salad,Salad
FTbNkCQyXjRqK0zJM70pmA,steak,Steakhouses
rJw7E-x2366MY509ojuzjg,hotdogs,Fast Food
rJw7E-x2366MY509ojuzjg,sandwiches,Sandwiches
