business_id,review_id,text,rating,time_created
dTPlaoBfWMYVw-2B7WIuSw,B8_yaw7qgRavQT-LSOW8tg,"We just recently discovered PHO and we have been all around town trying different PHO.
We've happily landed and will be loyal only to PHO SURE, not only is...",5.0,2019-11-23 15:46:56
dTPlaoBfWMYVw-2B7WIuSw,1m7Aew-FvhpQR_BLEV9fcw,"Ate here a couple of times recently and enjoyed my Pho both times. 

The Pho is good, it is not the best I have had in my life but it is good and again I...",4.0,2019-11-07 09:41:12
dTPlaoBfWMYVw-2B7WIuSw,J92DBpf7cT1FRzGNiAJHdA,"The pho is pretty bland here. The broth could use a lot more flavoring and the shrimp were pretty rubbery. Customer service was pretty depressing too. 

I...",2.0,2018-12-19 07:44:35
ApazH33zV--VKCPjzewWtQ,wPOHt_90tbu02BUUL2o0-g,JD's is a great place to catch a game. We went on a Sunday afternoon around 12:50 in time for the 1:00 games and asked to be seated where they'd show the...,5.0,2019-10-06 14:52:10
ApazH33zV--VKCPjzewWtQ,4xvlIDb9VlgNf9qi3ndkCQ,"Cool atmosphere
I went late on a Saturday night 
The onion rings were amazing 
Service was pretty decent.",4.0,2019-08-26 10:57:48
ApazH33zV--VKCPjzewWtQ,XFjqCQVe957PYOMJeSNglg,An enjoyable pub with friendly staff. Tried the Brisket and Pimento cheese.. let's just say A... amazing! If I'm around I will be back.,4.0,2019-11-03 14:49:13
AN-XE8Whw_ZyCxmqXsuCpw,mL7wFF3mrFiZGHb_q6uURA,"Stopped in for dinner with a colleague after a long day of meetings! Our server was awesome and quick with recommendations when asked! 

HOUSE SMOKED FISH...",5.0,2019-10-01 13:36:32
AN-XE8Whw_ZyCxmqXsuCpw,78TuiRUt_P3XbO5oOwcewQ,"I ate here on a Sunday night with two other people for dinner. These are my thoughts and observations.

- It was packed inside, so we decided to eat...",4.0,2019-11-25 13:01:44
AN-XE8Whw_ZyCxmqXsuCpw,mF_pbKl51g3h87v-0FMM6A,"To be honest, I would give the food 2 stars, but the service was so outstanding, I'm adding a star. 

This cute place is in the center of downtown Apex....",3.0,2019-09-04 22:25:12
40W1_4-Bu-RlZWRRUbQt6w,OzmloI6Gxtd_wgYa2LFdxw,"This is just the perfect Italian night out! 
Being from a big Italian family it's all about connecting. Connecting with the owner, his wife and then he...",5.0,2019-10-09 05:42:34
40W1_4-Bu-RlZWRRUbQt6w,bb82p5NbM_FmnpjImbkEnw,"The best part of the meal was the bread and dipping oil.  All the pasta (ziti, manicotti, egg plant parm) dishes royally sucked. Pizza was at best ok....",2.0,2019-11-06 15:53:15
40W1_4-Bu-RlZWRRUbQt6w,99CTYk4oAzugeUid60ppNA,"The chicken marsala was amazing!! The portions was large so I had enough for leftovers. The service was good but a little too attentive, I kept getting...",4.0,2019-09-21 09:10:12
fXy6yfkIsnMGQ7mRiC7SJA,y6mlJ_guBTKqL73JOjWrqw,"Always a great place to catch a movie with the family! The epitome of dinner and a movie. Good snacks and specials at the snack bar.. 

Dinner at Tyler's...",5.0,2014-09-01 13:45:14
fXy6yfkIsnMGQ7mRiC7SJA,IJO4ycCHtdb1yvfj4MvZQQ,"Such a meh theater experience, I would give it about 2.5 stars.

We decided to come here because we had a gift card and the AMC I like wasn't playing the...",2.0,2019-01-12 10:18:09
fXy6yfkIsnMGQ7mRiC7SJA,sUDR6YFT3FjOC83-UpdfEA,"When you charge more than $3 for a coffee make sure you have creamer. I asked BEFORE ordering about the coffee and was told "" it's fresh...good to go"" then...",1.0,2019-02-09 19:16:09
UQfKCnkzqDhQfgcPMj7Ivw,aWRl9m_jzn0ccjeyMJQwYA,"Had the spicy burger and sweet potato tater tots. 

Burger cooked perfect with the right amount of spicy.  

Tater tots were like desert. 

Service was...",5.0,2019-11-09 09:21:09
UQfKCnkzqDhQfgcPMj7Ivw,t2W5ijWH_N9JN5mpbBFCUQ,Food is pretty good and this review is based on everything but the food.  This place nickel and dimes you to death.  Tonic water is .50 per drink.  I added...,3.0,2019-07-14 15:21:21
UQfKCnkzqDhQfgcPMj7Ivw,3GjKh3oVnvC92nSBchJDFw,"Nice evening stroll thru downtown Apex brought us in. We sat in the bar area, the girls at the bar area were so friendly and constantly checking on us. 
I...",4.0,2019-06-29 10:35:35
XAYwAF_83becwNnSJDFkpA,yq2gpcbkyo886LEu7BoomA,This really nice dim sum place in SF totally changed my impression on Asian food. The authentic dumplings and XLBs are the best I ever tasted in my life!...,5.0,2019-11-28 13:05:34
XAYwAF_83becwNnSJDFkpA,9vA15MukIeN3IaGmp868CA,"I went to Dumpling House on a recent trip to SF and was interested in trying it due to its high ratings.

At first glance, the restaurant is very clean and...",3.0,2019-12-07 15:27:55
XAYwAF_83becwNnSJDFkpA,VKLS21rP7IlpLmY0uq-Z5g,"This is what I call W..te men's Chinese food.
Dumplings are just ok especially for the price.
You can get any of those take out place on clement st
Or China...",2.0,2019-12-02 11:20:40
hXeusGZQvH5oMxaR6XgYwA,pzFBky6FFB8uqbMf8YVcmQ,"Super Duper! 

I walked in, tired and on an errand to bring lunch to a construction crew doing work in my apartment. 

Seven hungry men about to break for...",4.0,2019-11-22 19:19:04
hXeusGZQvH5oMxaR6XgYwA,ooMyAMXcClFjRs5MfXHIPA,"Yummmm! It's a great spot even if you're in a hurry or have a moment to savor the food. 

The menu has something for everyone, but isn't overwhelming. They...",5.0,2019-11-20 13:54:11
hXeusGZQvH5oMxaR6XgYwA,LQWCb0q7G0cLe4s4tgV3rA,I appreciate that Super Duper has a veggie option but I wasn't impressed with the patty or the overall quality. Their burgers are VERY greasy. Don't get me...,2.0,2019-10-30 00:43:38
aT2t4GgMQ32qQuFX-AgmAA,RO9GfHxhD-NKiL2Nz-LmKw,"The food was good as expected of IHOP. Our server was honestly horrible, but it was very busy and he was trying. 

What made this experience a 5 star...",5.0,2019-08-25 09:44:05
aT2t4GgMQ32qQuFX-AgmAA,y_23ddshPIZdcRRNq40drw,"Update: after reporting the incident to corporate, the GM contacted me and compensation was made. They will be retraining staff. 

Imagine a server yelling...",3.0,2019-11-23 21:06:46
aT2t4GgMQ32qQuFX-AgmAA,naCaauspd55-F_Qq4xhWXA,"If your going for the kids pizza here, don't. We went to this Ihop a few months ago to be completely disgusted. We ordered our food after about a 10-15...",1.0,2019-11-24 10:03:49
