business_id,review_id,text,rating,time_created
EPtj0yqg1uZWu0kAEudA3w,94M8UFImmQRrI92cbMaCzA,"Very nice owners and terrific food!  The butter chicken and basmati rice were delicious and you could tell homemade.  Try them, you'll like them.",5,6/26/2019 13:32
EPtj0yqg1uZWu0kAEudA3w,SMwuqaoL5bz755hxkT1D9w,"Saw this truck outside at my job and decided to give it a try. The young lady at the window was nice, could have been the owner? I enjoyed the butter...",3,7/31/2019 11:57
EPtj0yqg1uZWu0kAEudA3w,NHbQNrqW11rS8TCApQ__BQ,Amazing food. Excellent service (actually came to find me in the brewery and bring me my food and then checked to see if I needed anything else). More...,5,11/16/2019 10:40
WoW0g9Jel8xdf5K5sSNWiw,jU3rZXv5evR3ja_JXLAkFw,This is an A+ food stand that only offers a few menu items and accepts cash only. Stevie is always on the cross section of Sam Wilson and Old Dowd. He is...,5,12/15/2017 11:48
WoW0g9Jel8xdf5K5sSNWiw,CQiJ85hol4XaMKb-SRmsPg,"Sustenance truck! Had astounding fish!!!! It's been weeks I'm STILL needing it! Also, a high evaluating from the leading group of wellbeing on the...",5,3/12/2019 19:42
j7OPOWXw9U2tUsR-f1pnag,MnaLL5RbzQKm5DtEdoy5tQ,First of all I was waiting at drive thru for 5 minutes no body responds.then I knock on window also employee were talking and laughing in the end I went...,1,10/8/2019 18:47
HptvLM6QOQybTYglMu6FvQ,s0gTdAx692yrWuMAiTofwA,Great burgers and hotdogs! This place is a hidden gem! Very responsibly priced too. They've been closed for the last year due to a tree falling on the...,5,10/16/2019 16:40
HptvLM6QOQybTYglMu6FvQ,TUpN1BDwKZtMkMIBYim66Q,"Oh my goodness.. talk about greasy goodness. My coworkers friend told him about it and we decided to check it out for lunch. 

A lunch special is $8.95 and...",5,8/28/2018 9:35
HptvLM6QOQybTYglMu6FvQ,JO2JK4pbhMmaSRmXl-1ChQ,"I've been living in this neighborhood for over a year now. Every day I drive by this place to go to work but never stopped by to try them out. Well, it...",3,4/2/2018 18:51
l_8v6XyTaEHmTKmorMrPxg,TkfvGUyOtsTZw4u1aZ5Beg,Very expensive for sub-par sushi.,3,12/17/2011 2:42
l_8v6XyTaEHmTKmorMrPxg,su-2QWQ2sWOUSk90F0ST6g,Man I wish I would have these reviews prior to ordering. The worst sushi ever! Granola bar here I come. Gagging.,1,11/4/2014 16:21
l_8v6XyTaEHmTKmorMrPxg,5zj8ePn6DzzM7jgwuSRYDA,My friend and I BOTH got sick on the sushi - they claim is fresh but they switch the expiration stickers on the packages.  Stay away.  We only ate there...,1,9/9/2012 13:44
3LiLIZvamMchKo-QdsmyRw,7oIJssGSZPbcfVbaghk2Ww,The Wraps Around The World food truck visited our office today. They have a pretty decent menu and even had a special wrap (Buffalo Chicken) that was $2...,4,6/29/2018 9:28
3LiLIZvamMchKo-QdsmyRw,cOWxKjKKINY0LNX3J9l4UA,Good portion size compared to other food trucks.  I like the ability to customize the wrap type and everything is put together fresh instead of being given...,3,4/12/2019 12:16
3LiLIZvamMchKo-QdsmyRw,sAar6uqc68EiGSjhjdTAPA,"This food truck was at Rocky River Vineyards today when I went for a wine tasting with a friend. I was hungry, so I decided to try it. I had the Jamaican Me...",5,7/14/2019 13:33
snAptnCpk3LagN3nJwPAZg,9trMCCAAXRldTpn1un5diQ,"Good Brisket doesn't need sauce...get extra sauce from K & N.
Got a mix of lean and fatty but believe it all to be from the flat.  Nice smoke ring and...",2,8/14/2019 9:34
snAptnCpk3LagN3nJwPAZg,CzWY13AccD_7KXdA2hTjcw,"Had the brisket sandwich, which cost 12 dollars by itself. Being a huge fan of brisket and food trucks in general, I was very excited... Unfortunately I was...",2,1/12/2019 18:46
snAptnCpk3LagN3nJwPAZg,uwBHw6KxuoJqTcumFhdA1A,I think I have found my new favorite bbq! This place is AMAZING! Limited menu but each bbq item is delicious. The riblets are probably the best item there...,5,6/8/2017 16:47
NQsw-lJvcsWJMCnPdrdhhA,lNsOuMNfqPfaCp3ueNEWfQ,"I can't believe I am gonna say this, but my husband and I both said while we were eating ""I think this is the best pad thai I have had in Charlotte."" Which...",5,6/3/2019 9:00
NQsw-lJvcsWJMCnPdrdhhA,ljTUJ0hTYmWixEhzdJJNfw,I had been craving Thai food for the last couple days and noticed that there was a newish restaurant in my neighborhood. I decided to place a togo order...,4,6/13/2019 16:03
NQsw-lJvcsWJMCnPdrdhhA,S-x0C7m8qaTB29glR-TIXQ,Came here for lunch and enjoyed the pho that I ordered however their other lunch dishes seemed to be very small for the price. Take out is also very...,3,11/19/2019 20:34
SQII8W75fv4wJYhmAiDPWg,3sxAbHsByqZGKY9m-065mQ,"I wanted to try something different for lunch, but contemplated because I felt it was a bit heavy for lunch. The ox tails were calling my name because Ive...",4,11/5/2019 7:06
SQII8W75fv4wJYhmAiDPWg,YO6s5LuMFpMeY_LX8a5mhg,"I would give this place about a 3.5 but on a sliding scale it's closer to a 4 than a 3. 
Location is good with plenty of parking. From Yelp and the outside...",4,10/23/2019 7:39
SQII8W75fv4wJYhmAiDPWg,NjBGpQ6X5QId8xLf_kpFqA,"Food was surprisingly amazing. I work close by this restaurant and have to admit, I avoided it just based off its appearance; it almost looks too commercial...",5,10/15/2019 17:07
s2B_ZeSGTlQ3qbm0dOY5rg,pDyBGRhshZSQAMaJrB2zvw,To be honest I'm not a burger fanatic. Seriously the more crap you add on to these sandwiches the more I seem to be unimpressed. HWY 55 is just that and I...,5,10/6/2019 16:16
s2B_ZeSGTlQ3qbm0dOY5rg,YD9M8gt_-USlG9H2CumMUQ,"The food went downhill when they changed from Andy's to Hwy 55. However, I love the shrimp burger and the fresh squeezed lemonade. 

They had an issue with...",3,11/4/2019 15:09
s2B_ZeSGTlQ3qbm0dOY5rg,WqeRu-gslao97mbDMkoeYw,I'm not a fan of Highway 55 but my only experience is with this location so I'm kinda bias. I have been a couple times to this location since it is in my...,2,10/29/2019 20:59
RI1rKMh5RiJ1hISIVcSsWQ,hASTfuGXvxd0GXuo2KB7AA,"I finally went to the Charlotte premium outlets and browsed around.  The only thing I bought was some cookies.  I three types: oatmeal, peanut butter,...",4,11/17/2019 13:53
RI1rKMh5RiJ1hISIVcSsWQ,AQXU7msyFzrVIWLh2mEdQA,"My friends and I were celebrating my birthday and decided to pop in for a cookie or two. The ladies were so friendly, told us about extra specials that were...",5,11/18/2019 6:04
RI1rKMh5RiJ1hISIVcSsWQ,9iAlLwZkadBO_YWhkk8j6g,It was a nice place to shop for cookies. The lady who worked there was very helpful. Even though the line was long the lady working got to me quickly. Great...,4,7/7/2019 1:44
1PYFn3TX0zAOydMyKpQVnQ,6d98QGaw20e2SbR_6P44gw,I've had teriyaki before and my wife makes it every now and then. It's food court food. There isn't a lot of flavor. Some of the beef in the beef and shrimp...,3,6/30/2019 15:37
1PYFn3TX0zAOydMyKpQVnQ,s1RHozbWLlUWFh55LJrgXA,"Horrible food... bland, hard fried rice. Chicken isn't fresh... they have a bowl with about 8 lbs of cut up precooked ""teriyaki"" chicken they ""warm"" up and...",1,12/18/2018 12:28
1PYFn3TX0zAOydMyKpQVnQ,A-XZ_Zv7oifJEUVuy7izHQ,"I got the Chef's Special, Teriyaki Chicken with fried rice and vegetables.  It was cooked while waiting so everything was fresh.  The chicken was not...",5,12/27/2016 10:00
Cr6Q5CAyezx7ivz2UsaghA,bQG7D12Me7_6amXJCVQDAg,"There are days where you need a ""pick me up"" and this was definitely one of those days! This location was very nice and neat. The staff was super friendly...",5,7/23/2019 9:25
Cr6Q5CAyezx7ivz2UsaghA,2L1cXBghxHaPYB8INLXJcQ,Not much to say in terms of the menu as if you've been to one you've been to all of them.  This is an outside venue. They do not have a store Per se. rather...,4,5/11/2019 12:12
Cr6Q5CAyezx7ivz2UsaghA,j5-Nd4r082HSj01FTb_Rdw,"No inside space here, just a walk up window in the middle of the outlets. 

It's your basic Starbucks, so you know what to expect. I've noticed that no...",3,5/31/2018 8:59
FTbNkCQyXjRqK0zJM70pmA,pFbLlazcdfhFw8X78kIPgg,If I could do a -1 I would. Their location in Steele creek ch nc is horrible. Everytime I place an order it's wrong. They don't never have a manager there....,1,10/18/2019 19:42
FTbNkCQyXjRqK0zJM70pmA,TipwQNliA_T-wZl3zcZQZw,"So, I had only been to a restaurant with the same name in San Diego, so I was excited to see it was also in Charlotte. The Chicken Teriyaki sandwich is...",4,7/22/2018 20:03
FTbNkCQyXjRqK0zJM70pmA,A7OcZCs8UYd8uxsxJKviog,"I got the standard cheesesteak sub which was decent, the lettuce and tomato toppings were very fresh. I asked for black pepper (either on it or just some...",2,9/11/2018 9:43
HWg0C5_GscWB9fRHvHkq_Q,k4eWePmEBb_P6Gn5HEoaiQ,"Not generally a fan of Food Courts are Outlet Malls or Place like Airports, but this is pretty good.

Food courts leave little to the imagination and...",3,10/28/2016 18:39
HWg0C5_GscWB9fRHvHkq_Q,DidARM80uvB8a7PKhLVT3g,"(6/22/19) Some of the worst ""Chinese "" food I've ever had. The meat in the beef with broccoli was tough and stringy. The broccoli was woody. I've never had...",1,6/22/2019 15:31
HWg0C5_GscWB9fRHvHkq_Q,ZwSNW--6kbh7rTuT1cc_TQ,"All the food was extra sweet, even the noodles and owners were very rude to my child who went to pay for her refill.  I would not recommend this restaurant...",1,10/6/2019 13:26
G2hTYYzvlg75BisWSHarLQ,Jkd52MbC9Acd7_dKJddU_Q,This is hands down my favorite Italian restaurant in Charlotte. I've been here probably 10 times for lunch since my office is really close by. I had been...,5,5/11/2019 8:49
